Basic Model train epoch:1,loss:6.285043716430664,training_time:0.6848328658379614
Basic Model train epoch:2,loss:6.0727338790893555,training_time:0.09340733103454113
Basic Model train epoch:3,loss:6.00783383846283,training_time:0.09339567925781012
Basic Model train epoch:4,loss:5.897305965423584,training_time:0.0938076819293201
Basic Model train epoch:5,loss:5.827859580516815,training_time:0.09343270910903811
Basic Model train epoch:6,loss:5.5632317662239075,training_time:0.09392903186380863
Basic Model train epoch:7,loss:4.668987810611725,training_time:0.09365418599918485
Basic Model train epoch:8,loss:4.125192999839783,training_time:0.09380348678678274
Basic Model train epoch:9,loss:3.715175211429596,training_time:0.09341732179746032
Basic Model train epoch:10,loss:3.296076238155365,training_time:0.09335327986627817
Basic Model train epoch:11,loss:2.951453357934952,training_time:0.09366411529481411
Basic Model train epoch:12,loss:2.6742133796215057,training_time:0.09340254683047533
Basic Model train epoch:13,loss:2.4465383887290955,training_time:0.09294583974406123
Basic Model train epoch:14,loss:2.2672533690929413,training_time:0.0934454002417624
Basic Model train epoch:15,loss:2.085542857646942,training_time:0.09375328198075294
Basic Model train epoch:16,loss:1.9318225681781769,training_time:0.09348743408918381
Basic Model train epoch:17,loss:1.8194502741098404,training_time:0.09361295588314533
Basic Model train epoch:18,loss:1.6993240118026733,training_time:0.09379439987242222
Basic Model train epoch:19,loss:1.6090772300958633,training_time:0.09362106677144766
Basic Model train epoch:20,loss:1.5234906524419785,training_time:0.09371510101482272
Basic Model train epoch:21,loss:1.4445394426584244,training_time:0.09355773916468024
Basic Model train epoch:22,loss:1.3608511537313461,training_time:0.09328583488240838
Basic Model train epoch:23,loss:1.2773158997297287,training_time:0.09342765482142568
Basic Model train epoch:24,loss:1.2247052192687988,training_time:0.09374244138598442
Basic Model train epoch:25,loss:1.164925366640091,training_time:0.09337085019797087
Basic Model train epoch:26,loss:1.0939121842384338,training_time:0.09371821023523808
Basic Model train epoch:27,loss:1.0275026261806488,training_time:0.09392354683950543
Basic Model train epoch:28,loss:0.9804984331130981,training_time:0.0939286109060049
Basic Model train epoch:29,loss:0.9250226691365242,training_time:0.09348505269736052
Basic Model train epoch:30,loss:0.8744068592786789,training_time:0.09377087373286486
Basic Model train epoch:31,loss:0.8282466903328896,training_time:0.09316587401553988
Basic Model train epoch:32,loss:0.7741614878177643,training_time:0.0935646970756352
Basic Model train epoch:33,loss:0.7358573153614998,training_time:0.09337465185672045
Basic Model train epoch:34,loss:0.7064048983156681,training_time:0.09376655705273151
Basic Model train epoch:35,loss:0.6781992614269257,training_time:0.09300283435732126
Basic Model train epoch:36,loss:0.6541622020304203,training_time:0.09433809528127313
Basic Model train epoch:37,loss:0.6176969930529594,training_time:0.09558347286656499
step300
{'mse': 1.6732664704322815}
saving model of step300
Basic Model train epoch:38,loss:0.6050408557057381,training_time:0.1418205788359046
Basic Model train epoch:39,loss:0.573449645191431,training_time:0.09320779191330075
Basic Model train epoch:40,loss:0.5524848811328411,training_time:0.09396861959248781
Basic Model train epoch:41,loss:0.5347023531794548,training_time:0.09354777913540602
Basic Model train epoch:42,loss:0.5134594663977623,training_time:0.09360182797536254
Basic Model train epoch:43,loss:0.506784725934267,training_time:0.09341500233858824
Basic Model train epoch:44,loss:0.4811601974070072,training_time:0.09369467571377754
Basic Model train epoch:45,loss:0.4650116264820099,training_time:0.09302145196124911
Basic Model train epoch:46,loss:0.4606427997350693,training_time:0.09353075083345175
Basic Model train epoch:47,loss:0.4402921125292778,training_time:0.0935040838085115
Basic Model train epoch:48,loss:0.4333181045949459,training_time:0.09354118909686804
Basic Model train epoch:49,loss:0.4115392379462719,training_time:0.09375054202973843
Basic Model train epoch:50,loss:0.41336098313331604,training_time:0.09337067836895585
Basic Model train epoch:51,loss:0.40605053305625916,training_time:0.09358715219423175
Basic Model train epoch:52,loss:0.3836919069290161,training_time:0.09354741964489222
Basic Model train epoch:53,loss:0.38392065092921257,training_time:0.0935148922726512
Basic Model train epoch:54,loss:0.3685470446944237,training_time:0.09334038011729717
Basic Model train epoch:55,loss:0.36501025781035423,training_time:0.09337680786848068
Basic Model train epoch:56,loss:0.348740566521883,training_time:0.09349843394011259
Basic Model train epoch:57,loss:0.3513307273387909,training_time:0.09359065629541874
Basic Model train epoch:58,loss:0.3315056711435318,training_time:0.09379285806789994
Basic Model train epoch:59,loss:0.32704296335577965,training_time:0.09364115679636598
Basic Model train epoch:60,loss:0.323308102786541,training_time:0.09349361201748252
