Basic Model train epoch:1,loss:0.5927173131042056,training_time:0.7343866829760373
Basic Model train epoch:2,loss:0.5914113322893778,training_time:0.17274572467431426
Basic Model train epoch:3,loss:0.5819472538100349,training_time:0.17217029677703977
Basic Model train epoch:4,loss:0.5611690779527029,training_time:0.1722416691482067
Basic Model train epoch:5,loss:0.5893285473187765,training_time:0.17234289506450295
Basic Model train epoch:6,loss:0.5419579197963079,training_time:0.17177104437723756
Basic Model train epoch:7,loss:0.5478595097859701,training_time:0.17192713916301727
Basic Model train epoch:8,loss:0.482175146540006,training_time:0.17266010819002986
Basic Model train epoch:9,loss:0.4229792488945855,training_time:0.17218552436679602
Basic Model train epoch:10,loss:0.34949585133128697,training_time:0.1724138967692852
Basic Model train epoch:11,loss:0.2927757170465257,training_time:0.17268327996134758
Basic Model train epoch:12,loss:0.22900131675932142,training_time:0.1723225829191506
Basic Model train epoch:13,loss:0.17702867752975887,training_time:0.1720896908082068
Basic Model train epoch:14,loss:0.16388599077860513,training_time:0.1725114779546857
Basic Model train epoch:15,loss:0.13046098914411333,training_time:0.1723727067001164
Basic Model train epoch:16,loss:0.10888824280765322,training_time:0.1725958501920104
Basic Model train epoch:17,loss:0.09770382692416509,training_time:0.17199371103197336
Basic Model train epoch:18,loss:0.09075682361920674,training_time:0.1721878880634904
Basic Model train epoch:19,loss:0.08194090177615483,training_time:0.1723573082126677
Basic Model train epoch:20,loss:0.10126436750094096,training_time:0.17213659407570958
Basic Model train epoch:21,loss:0.09091957658529282,training_time:0.17196865705773234
Basic Model train epoch:22,loss:0.09717552115519841,training_time:0.1721862587146461
Basic Model train epoch:23,loss:0.07699807236591975,training_time:0.17201394122093916
Basic Model train epoch:24,loss:0.06580547905630535,training_time:0.17251352313905954
Basic Model train epoch:25,loss:0.05906031197971768,training_time:0.17224978981539607
Basic Model train epoch:26,loss:0.055182708634270564,training_time:0.1721724420785904
Basic Model train epoch:27,loss:0.052196305659082204,training_time:0.17216506088152528
Basic Model train epoch:28,loss:0.050061144762569,training_time:0.17239346913993359
Basic Model train epoch:29,loss:0.04771430376503202,training_time:0.17205341206863523
Basic Model train epoch:30,loss:0.046016218347681895,training_time:0.1722791399806738
Basic Model train epoch:31,loss:0.044188030478027135,training_time:0.17216796660795808
Basic Model train epoch:32,loss:0.04593012481927872,training_time:0.17263035802170634
Basic Model train epoch:33,loss:0.04260763360394372,training_time:0.1721303490921855
step300
{'mse': 0.5672017335891724}
saving model of step300
Basic Model train epoch:34,loss:0.039985235366556376,training_time:0.1940983422100544
Basic Model train epoch:35,loss:0.03958490408129162,training_time:0.17267441097646952
Basic Model train epoch:36,loss:0.03777696150872442,training_time:0.17227685078978539
Basic Model train epoch:37,loss:0.03694597693781058,training_time:0.17230129800736904
Basic Model train epoch:38,loss:0.03606730451186498,training_time:0.17223500087857246
Basic Model train epoch:39,loss:0.0351149116953214,training_time:0.17248991364613175
Basic Model train epoch:40,loss:0.03401193188296424,training_time:0.17237593280151486
Basic Model train epoch:41,loss:0.0325417545520597,training_time:0.17229530215263367
Basic Model train epoch:42,loss:0.03206895457373725,training_time:0.17213301407173276
Basic Model train epoch:43,loss:0.030157461141546566,training_time:0.1723411362618208
Basic Model train epoch:44,loss:0.02976967477136188,training_time:0.17214449681341648
Basic Model train epoch:45,loss:0.029384691682126787,training_time:0.17231644317507744
Basic Model train epoch:46,loss:0.028786119487550523,training_time:0.1720306258648634
Basic Model train epoch:47,loss:0.027918320149183273,training_time:0.1722968239337206
Basic Model train epoch:48,loss:0.026632176298234198,training_time:0.17231546016409993
Basic Model train epoch:49,loss:0.0271635086586078,training_time:0.17226864397525787
Basic Model train epoch:50,loss:0.029339597663945623,training_time:0.17184580815955997
Basic Model train epoch:51,loss:0.028802342298958037,training_time:0.17248974833637476
Basic Model train epoch:52,loss:0.027716725650760863,training_time:0.1722834538668394
Basic Model train epoch:53,loss:0.026867420516080327,training_time:0.17226996878162026
Basic Model train epoch:54,loss:0.025363224041130807,training_time:0.17219732096418738
Basic Model train epoch:55,loss:0.024982528967989817,training_time:0.17229306092485785
Basic Model train epoch:56,loss:0.024751656585269503,training_time:0.17227886570617557
Basic Model train epoch:57,loss:0.024022078555491235,training_time:0.17194002494215965
Basic Model train epoch:58,loss:0.022477214948998556,training_time:0.17245150916278362
Basic Model train epoch:59,loss:0.025999805372622278,training_time:0.1723103430122137
Basic Model train epoch:60,loss:0.02362110424372885,training_time:0.17212576512247324
