Basic Model train epoch:1,loss:6.316105842590332,training_time:0.60939108626917
Basic Model train epoch:2,loss:6.175902843475342,training_time:0.034558428917080164
Basic Model train epoch:3,loss:6.017443021138509,training_time:0.03276828397065401
Basic Model train epoch:4,loss:5.668192545572917,training_time:0.032921256963163614
Basic Model train epoch:5,loss:5.3213090896606445,training_time:0.032766036689281464
Basic Model train epoch:6,loss:5.208004315694173,training_time:0.032769891899079084
Basic Model train epoch:7,loss:5.132591724395752,training_time:0.03288030996918678
Basic Model train epoch:8,loss:4.806913375854492,training_time:0.0328897382132709
Basic Model train epoch:9,loss:4.730421702067058,training_time:0.03275567712262273
Basic Model train epoch:10,loss:4.379513422648112,training_time:0.03285280102863908
Basic Model train epoch:11,loss:4.328396558761597,training_time:0.03293335484340787
Basic Model train epoch:12,loss:4.313780466715495,training_time:0.03260806715115905
Basic Model train epoch:13,loss:4.2384311358133955,training_time:0.03283482603728771
Basic Model train epoch:14,loss:4.189016660054524,training_time:0.032770490273833275
Basic Model train epoch:15,loss:4.093193610509236,training_time:0.032270328141748905
Basic Model train epoch:16,loss:4.121856689453125,training_time:0.03279974777251482
Basic Model train epoch:17,loss:4.014705181121826,training_time:0.03249091329053044
Basic Model train epoch:18,loss:3.459658225377401,training_time:0.032544235698878765
Basic Model train epoch:19,loss:3.8584021727244058,training_time:0.03279836429283023
Basic Model train epoch:20,loss:3.5453170935312905,training_time:0.03265677485615015
Basic Model train epoch:21,loss:3.9402071634928384,training_time:0.032617578748613596
Basic Model train epoch:22,loss:3.2964601516723633,training_time:0.03282595006749034
Basic Model train epoch:23,loss:3.234291156133016,training_time:0.032585224602371454
Basic Model train epoch:24,loss:3.2463701566060386,training_time:0.03283865191042423
Basic Model train epoch:25,loss:3.0282070636749268,training_time:0.03291176166385412
Basic Model train epoch:26,loss:2.896087408065796,training_time:0.032854156102985144
Basic Model train epoch:27,loss:2.7668787638346353,training_time:0.03284680703654885
Basic Model train epoch:28,loss:3.008662382761637,training_time:0.033312778919935226
Basic Model train epoch:29,loss:2.797807057698568,training_time:0.03262213012203574
Basic Model train epoch:30,loss:2.4511147340138755,training_time:0.03276458056643605
Basic Model train epoch:31,loss:2.6540236473083496,training_time:0.03284405218437314
Basic Model train epoch:32,loss:2.500467856725057,training_time:0.03286734223365784
Basic Model train epoch:33,loss:2.403053363164266,training_time:0.032748840283602476
Basic Model train epoch:34,loss:2.3207485675811768,training_time:0.032874343916773796
Basic Model train epoch:35,loss:2.4053127765655518,training_time:0.0327914790250361
Basic Model train epoch:36,loss:2.7522135575612388,training_time:0.03277679579332471
Basic Model train epoch:37,loss:2.2997815211613974,training_time:0.03285057097673416
Basic Model train epoch:38,loss:2.225247542063395,training_time:0.032508587930351496
Basic Model train epoch:39,loss:1.9639527002970378,training_time:0.03276015305891633
Basic Model train epoch:40,loss:2.179642915725708,training_time:0.032794385217130184
Basic Model train epoch:41,loss:2.0129611492156982,training_time:0.03279054583981633
Basic Model train epoch:42,loss:1.8232274850209553,training_time:0.03282556915655732
Basic Model train epoch:43,loss:1.8228648106257122,training_time:0.032812891993671656
Basic Model train epoch:44,loss:1.8965879281361897,training_time:0.032811691984534264
Basic Model train epoch:45,loss:2.063615322113037,training_time:0.03277826867997646
Basic Model train epoch:46,loss:2.1492741902669272,training_time:0.03280069679021835
Basic Model train epoch:47,loss:1.936314543088277,training_time:0.03280305489897728
Basic Model train epoch:48,loss:1.806557575861613,training_time:0.032804148737341166
Basic Model train epoch:49,loss:1.7780267000198364,training_time:0.032760930713266134
Basic Model train epoch:50,loss:1.937804937362671,training_time:0.03279086574912071
Basic Model train epoch:51,loss:1.8579521179199219,training_time:0.03283771686255932
Basic Model train epoch:52,loss:1.8055667479832966,training_time:0.032817089930176735
Basic Model train epoch:53,loss:1.714961012204488,training_time:0.033161125145852566
Basic Model train epoch:54,loss:1.5105673869450886,training_time:0.03286759275943041
Basic Model train epoch:55,loss:1.7848567167917888,training_time:0.03264579316601157
Basic Model train epoch:56,loss:1.5104783376057942,training_time:0.03278656397014856
Basic Model train epoch:57,loss:1.6279974778493245,training_time:0.032770805060863495
Basic Model train epoch:58,loss:1.5310126145680745,training_time:0.03282549511641264
Basic Model train epoch:59,loss:1.539667288462321,training_time:0.03278146032243967
Basic Model train epoch:60,loss:1.491292158762614,training_time:0.03273732680827379
