Basic Model train epoch:1,loss:6.285043716430664,training_time:0.6760776601731777
Basic Model train epoch:2,loss:6.0727338790893555,training_time:0.09439587313681841
Basic Model train epoch:3,loss:6.00783383846283,training_time:0.09386331168934703
Basic Model train epoch:4,loss:5.897305965423584,training_time:0.09449747996404767
Basic Model train epoch:5,loss:5.827859580516815,training_time:0.09386486513540149
Basic Model train epoch:6,loss:5.5632317662239075,training_time:0.09484918927773833
Basic Model train epoch:7,loss:4.668987810611725,training_time:0.09434768510982394
Basic Model train epoch:8,loss:4.125192999839783,training_time:0.09488065121695399
Basic Model train epoch:9,loss:3.715175211429596,training_time:0.09466204373165965
Basic Model train epoch:10,loss:3.296076238155365,training_time:0.09483969584107399
Basic Model train epoch:11,loss:2.951453357934952,training_time:0.09425660129636526
Basic Model train epoch:12,loss:2.6742133796215057,training_time:0.09444443276152015
Basic Model train epoch:13,loss:2.4465383887290955,training_time:0.09442920191213489
Basic Model train epoch:14,loss:2.2672533690929413,training_time:0.09402454225346446
Basic Model train epoch:15,loss:2.085542857646942,training_time:0.0942613766528666
Basic Model train epoch:16,loss:1.9318225681781769,training_time:0.09455310460180044
Basic Model train epoch:17,loss:1.8194502741098404,training_time:0.09455448994413018
Basic Model train epoch:18,loss:1.6993240118026733,training_time:0.0944125410169363
Basic Model train epoch:19,loss:1.6090772300958633,training_time:0.09442859329283237
Basic Model train epoch:20,loss:1.5234906524419785,training_time:0.09448673436418176
Basic Model train epoch:21,loss:1.4445394426584244,training_time:0.09439356485381722
Basic Model train epoch:22,loss:1.3608511537313461,training_time:0.09438388096168637
Basic Model train epoch:23,loss:1.2773158997297287,training_time:0.09395127324387431
Basic Model train epoch:24,loss:1.2247052192687988,training_time:0.09430160978808999
Basic Model train epoch:25,loss:1.164925366640091,training_time:0.0943607622757554
Basic Model train epoch:26,loss:1.0939121842384338,training_time:0.09434864902868867
Basic Model train epoch:27,loss:1.0275026261806488,training_time:0.09443109622225165
Basic Model train epoch:28,loss:0.9804984331130981,training_time:0.09484937693923712
Basic Model train epoch:29,loss:0.9250226691365242,training_time:0.09458493115380406
Basic Model train epoch:30,loss:0.8744068592786789,training_time:0.09485420119017363
Basic Model train epoch:31,loss:0.8282466903328896,training_time:0.09339321171864867
Basic Model train epoch:32,loss:0.7741614878177643,training_time:0.09511375799775124
Basic Model train epoch:33,loss:0.7358573153614998,training_time:0.09565855003893375
Basic Model train epoch:34,loss:0.7064048983156681,training_time:0.09433195926249027
Basic Model train epoch:35,loss:0.6781992614269257,training_time:0.09411656484007835
Basic Model train epoch:36,loss:0.6541622020304203,training_time:0.09484532196074724
Basic Model train epoch:37,loss:0.6176969930529594,training_time:0.09453845210373402
step300
{'mse': 1.6732664704322815}
saving model of step300
Basic Model train epoch:38,loss:0.6050408557057381,training_time:0.14417031779885292
Basic Model train epoch:39,loss:0.573449645191431,training_time:0.09429819602519274
Basic Model train epoch:40,loss:0.5524848811328411,training_time:0.09466505888849497
Basic Model train epoch:41,loss:0.5347023531794548,training_time:0.09354851488023996
Basic Model train epoch:42,loss:0.5134594663977623,training_time:0.09485564706847072
Basic Model train epoch:43,loss:0.506784725934267,training_time:0.09408357786014676
Basic Model train epoch:44,loss:0.4811601974070072,training_time:0.09469495294615626
Basic Model train epoch:45,loss:0.4650116264820099,training_time:0.09425649419426918
Basic Model train epoch:46,loss:0.4606427997350693,training_time:0.09464829368516803
Basic Model train epoch:47,loss:0.4402921125292778,training_time:0.09432409703731537
Basic Model train epoch:48,loss:0.4333181045949459,training_time:0.09464860707521439
Basic Model train epoch:49,loss:0.4115392379462719,training_time:0.09417745284736156
Basic Model train epoch:50,loss:0.41336098313331604,training_time:0.09486401500180364
Basic Model train epoch:51,loss:0.40605053305625916,training_time:0.09405070170760155
Basic Model train epoch:52,loss:0.3836919069290161,training_time:0.09464656328782439
Basic Model train epoch:53,loss:0.38392065092921257,training_time:0.09403188107535243
Basic Model train epoch:54,loss:0.3685470446944237,training_time:0.09463191591203213
Basic Model train epoch:55,loss:0.36501025781035423,training_time:0.09469326306134462
Basic Model train epoch:56,loss:0.348740566521883,training_time:0.09486915078014135
Basic Model train epoch:57,loss:0.3513307273387909,training_time:0.09451027400791645
Basic Model train epoch:58,loss:0.3315056711435318,training_time:0.09468620968982577
Basic Model train epoch:59,loss:0.32704296335577965,training_time:0.09425949305295944
Basic Model train epoch:60,loss:0.323308102786541,training_time:0.09450190095230937
