Basic Model train epoch:1,loss:0.5927173131042056,training_time:0.7488096472807229
Basic Model train epoch:2,loss:0.5914113322893778,training_time:0.17200378002598882
Basic Model train epoch:3,loss:0.5819472538100349,training_time:0.17361307376995683
Basic Model train epoch:4,loss:0.5611690779527029,training_time:0.17403035517781973
Basic Model train epoch:5,loss:0.5893285473187765,training_time:0.17380966804921627
Basic Model train epoch:6,loss:0.5419579197963079,training_time:0.1740692900493741
Basic Model train epoch:7,loss:0.5478595097859701,training_time:0.1738167810253799
Basic Model train epoch:8,loss:0.482175146540006,training_time:0.173940715380013
Basic Model train epoch:9,loss:0.4229792488945855,training_time:0.17366970470175147
Basic Model train epoch:10,loss:0.34949585133128697,training_time:0.17400817899033427
Basic Model train epoch:11,loss:0.2927757170465257,training_time:0.1738002090714872
Basic Model train epoch:12,loss:0.22900131675932142,training_time:0.174024217762053
Basic Model train epoch:13,loss:0.17702867752975887,training_time:0.17377485986799002
Basic Model train epoch:14,loss:0.16388599077860513,training_time:0.1740522664040327
Basic Model train epoch:15,loss:0.13046098914411333,training_time:0.17371042910963297
Basic Model train epoch:16,loss:0.10888824280765322,training_time:0.17383644077926874
Basic Model train epoch:17,loss:0.09770382692416509,training_time:0.1736282012425363
Basic Model train epoch:18,loss:0.09075682361920674,training_time:0.17415388114750385
Basic Model train epoch:19,loss:0.08194090177615483,training_time:0.1735636000521481
Basic Model train epoch:20,loss:0.10126436750094096,training_time:0.17402713187038898
Basic Model train epoch:21,loss:0.09091957658529282,training_time:0.17375414399430156
Basic Model train epoch:22,loss:0.09717552115519841,training_time:0.17410926800221205
Basic Model train epoch:23,loss:0.07699807236591975,training_time:0.17386238975450397
Basic Model train epoch:24,loss:0.06580547905630535,training_time:0.17402196396142244
Basic Model train epoch:25,loss:0.05906031197971768,training_time:0.17384068621322513
Basic Model train epoch:26,loss:0.055182708634270564,training_time:0.17412487603724003
Basic Model train epoch:27,loss:0.052196305659082204,training_time:0.17384159518405795
Basic Model train epoch:28,loss:0.050061144762569,training_time:0.17402774281799793
Basic Model train epoch:29,loss:0.04771430376503202,training_time:0.17371580889448524
Basic Model train epoch:30,loss:0.046016218347681895,training_time:0.17401698790490627
Basic Model train epoch:31,loss:0.044188030478027135,training_time:0.17406903859227896
Basic Model train epoch:32,loss:0.04593012481927872,training_time:0.17390442313626409
Basic Model train epoch:33,loss:0.04260763360394372,training_time:0.1736893649213016
step300
{'mse': 0.5672017335891724}
saving model of step300
Basic Model train epoch:34,loss:0.039985235366556376,training_time:0.19569963915273547
Basic Model train epoch:35,loss:0.03958490408129162,training_time:0.1742959450930357
Basic Model train epoch:36,loss:0.03777696150872442,training_time:0.17386154690757394
Basic Model train epoch:37,loss:0.03694597693781058,training_time:0.17377746757119894
Basic Model train epoch:38,loss:0.03606730451186498,training_time:0.17383294133469462
Basic Model train epoch:39,loss:0.0351149116953214,training_time:0.17405800614506006
Basic Model train epoch:40,loss:0.03401193188296424,training_time:0.17377619165927172
Basic Model train epoch:41,loss:0.0325417545520597,training_time:0.1739722122438252
Basic Model train epoch:42,loss:0.03206895457373725,training_time:0.1737849349156022
Basic Model train epoch:43,loss:0.030157461141546566,training_time:0.1741545139811933
Basic Model train epoch:44,loss:0.02976967477136188,training_time:0.1739906701259315
Basic Model train epoch:45,loss:0.029384691682126787,training_time:0.17435660399496555
Basic Model train epoch:46,loss:0.028786119487550523,training_time:0.17281471379101276
Basic Model train epoch:47,loss:0.027918320149183273,training_time:0.17407211987301707
Basic Model train epoch:48,loss:0.026632176298234198,training_time:0.17376806261017919
Basic Model train epoch:49,loss:0.0271635086586078,training_time:0.1739511820487678
Basic Model train epoch:50,loss:0.029339597663945623,training_time:0.17389084864407778
Basic Model train epoch:51,loss:0.028802342298958037,training_time:0.1740858149714768
Basic Model train epoch:52,loss:0.027716725650760863,training_time:0.17368408478796482
Basic Model train epoch:53,loss:0.026867420516080327,training_time:0.1740690772421658
Basic Model train epoch:54,loss:0.025363224041130807,training_time:0.17368367919698358
Basic Model train epoch:55,loss:0.024982528967989817,training_time:0.1739749009720981
Basic Model train epoch:56,loss:0.024751656585269503,training_time:0.17376912385225296
Basic Model train epoch:57,loss:0.024022078555491235,training_time:0.17401378089562058
Basic Model train epoch:58,loss:0.022477214948998556,training_time:0.17364304512739182
Basic Model train epoch:59,loss:0.025999805372622278,training_time:0.17418697709217668
Basic Model train epoch:60,loss:0.02362110424372885,training_time:0.17372506391257048
