Basic Model train epoch:1,loss:6.316105842590332,training_time:0.5951954000629485
Basic Model train epoch:2,loss:6.175902843475342,training_time:0.03304872289299965
Basic Model train epoch:3,loss:6.017443021138509,training_time:0.032365080434829
Basic Model train epoch:4,loss:5.668192545572917,training_time:0.032537263352423906
Basic Model train epoch:5,loss:5.3213090896606445,training_time:0.03266048477962613
Basic Model train epoch:6,loss:5.208004315694173,training_time:0.03269840916618705
Basic Model train epoch:7,loss:5.132591724395752,training_time:0.032532298006117344
Basic Model train epoch:8,loss:4.806913375854492,training_time:0.032417723909020424
Basic Model train epoch:9,loss:4.730421702067058,training_time:0.032444668002426624
Basic Model train epoch:10,loss:4.379513422648112,training_time:0.032720974180847406
Basic Model train epoch:11,loss:4.328396558761597,training_time:0.03248914610594511
Basic Model train epoch:12,loss:4.313780466715495,training_time:0.032442779280245304
Basic Model train epoch:13,loss:4.2384311358133955,training_time:0.032438480760902166
Basic Model train epoch:14,loss:4.189016660054524,training_time:0.032354099210351706
Basic Model train epoch:15,loss:4.093193610509236,training_time:0.03268730640411377
Basic Model train epoch:16,loss:4.121856689453125,training_time:0.03266078978776932
Basic Model train epoch:17,loss:4.014705181121826,training_time:0.03261124435812235
Basic Model train epoch:18,loss:3.459658225377401,training_time:0.03267417894676328
Basic Model train epoch:19,loss:3.8584021727244058,training_time:0.032501264940947294
Basic Model train epoch:20,loss:3.5453170935312905,training_time:0.032553836703300476
Basic Model train epoch:21,loss:3.9402071634928384,training_time:0.03264639899134636
Basic Model train epoch:22,loss:3.2964601516723633,training_time:0.032722553703933954
Basic Model train epoch:23,loss:3.234291156133016,training_time:0.03272490482777357
Basic Model train epoch:24,loss:3.2463701566060386,training_time:0.03252224065363407
Basic Model train epoch:25,loss:3.0282070636749268,training_time:0.032404057681560516
Basic Model train epoch:26,loss:2.896087408065796,training_time:0.034518490079790354
Basic Model train epoch:27,loss:2.7668787638346353,training_time:0.03277790732681751
Basic Model train epoch:28,loss:3.008662382761637,training_time:0.03273041220381856
Basic Model train epoch:29,loss:2.797807057698568,training_time:0.03274627309292555
Basic Model train epoch:30,loss:2.4511147340138755,training_time:0.03254535002633929
Basic Model train epoch:31,loss:2.6540236473083496,training_time:0.03252395801246166
Basic Model train epoch:32,loss:2.500467856725057,training_time:0.0327429068274796
Basic Model train epoch:33,loss:2.403053363164266,training_time:0.03270894195884466
Basic Model train epoch:34,loss:2.3207485675811768,training_time:0.032582712825387716
Basic Model train epoch:35,loss:2.4053127765655518,training_time:0.032289321068674326
Basic Model train epoch:36,loss:2.7522135575612388,training_time:0.032599883154034615
Basic Model train epoch:37,loss:2.2997815211613974,training_time:0.032744674012064934
Basic Model train epoch:38,loss:2.225247542063395,training_time:0.03268641186878085
Basic Model train epoch:39,loss:1.9639527002970378,training_time:0.032668464817106724
Basic Model train epoch:40,loss:2.179642915725708,training_time:0.032693084329366684
Basic Model train epoch:41,loss:2.0129611492156982,training_time:0.032747038174420595
Basic Model train epoch:42,loss:1.8232274850209553,training_time:0.032655342016369104
Basic Model train epoch:43,loss:1.8228648106257122,training_time:0.03275419492274523
Basic Model train epoch:44,loss:1.8965879281361897,training_time:0.03266813699156046
Basic Model train epoch:45,loss:2.063615322113037,training_time:0.03268266888335347
Basic Model train epoch:46,loss:2.1492741902669272,training_time:0.032724687829613686
Basic Model train epoch:47,loss:1.936314543088277,training_time:0.03265431011095643
Basic Model train epoch:48,loss:1.806557575861613,training_time:0.03272826177999377
Basic Model train epoch:49,loss:1.7780267000198364,training_time:0.03273071115836501
Basic Model train epoch:50,loss:1.937804937362671,training_time:0.032780245412141085
Basic Model train epoch:51,loss:1.8579521179199219,training_time:0.03310076519846916
Basic Model train epoch:52,loss:1.8055667479832966,training_time:0.03276599803939462
Basic Model train epoch:53,loss:1.714961012204488,training_time:0.03272170480340719
Basic Model train epoch:54,loss:1.5105673869450886,training_time:0.03274287981912494
Basic Model train epoch:55,loss:1.7848567167917888,training_time:0.032744275406003
Basic Model train epoch:56,loss:1.5104783376057942,training_time:0.032394340727478266
Basic Model train epoch:57,loss:1.6279974778493245,training_time:0.032697880174964666
Basic Model train epoch:58,loss:1.5310126145680745,training_time:0.03273284621536732
Basic Model train epoch:59,loss:1.539667288462321,training_time:0.032694913912564516
Basic Model train epoch:60,loss:1.491292158762614,training_time:0.03276437195017934
